Name,Price,Change,"Percentage,",MarketCap,Volume Since,Volume oneday,TotalVolume,Supply
Bitcoin USD,"19,779.76","19,779.76","19,779.76",378.604B,Bitcoin USD,Bitcoin USD,Bitcoin USD,Bitcoin USD
Tether USD,0.999994,0.999994,0.999994,67.55B,Tether USD,Tether USD,Tether USD,Tether USD
BNB USD,278.42,278.42,278.42,44.919B,BNB USD,BNB USD,BNB USD,BNB USD
Cardano USD,0.496849,0.496849,0.496849,16.983B,Cardano USD,Cardano USD,Cardano USD,Cardano USD
Solana USD,31.62,31.62,31.62,11.063B,Solana USD,Solana USD,Solana USD,Solana USD
Polkadot USD,7.2403,7.2403,7.2403,8.103B,Polkadot USD,Polkadot USD,Polkadot USD,Polkadot USD
HEX USD,0.042752,0.042752,0.042752,7.414B,HEX USD,HEX USD,HEX USD,HEX USD
Dai USD,0.999445,0.999445,0.999445,6.959B,Dai USD,Dai USD,Dai USD,Dai USD
TRON USD,0.063050,0.063050,0.063050,5.825B,TRON USD,TRON USD,TRON USD,TRON USD
Lido Staked ETH USD,"1,508.62","1,508.62","1,508.62",5.262B,Lido Staked ETH USD,Lido Staked ETH USD,Lido Staked ETH USD,Lido Staked ETH USD
Wrapped Bitcoin USD,"19,778.23","19,778.23","19,778.23",4.906B,Wrapped Bitcoin USD,Wrapped Bitcoin USD,Wrapped Bitcoin USD,Wrapped Bitcoin USD
yOUcash USD,0.511397,0.511397,0.511397,4.407B,yOUcash USD,yOUcash USD,yOUcash USD,yOUcash USD
Litecoin USD,60.05,60.05,60.05,4.269B,Litecoin USD,Litecoin USD,Litecoin USD,Litecoin USD
